nhgf_id,DA_SQKM,MAXDI_EROM,Dam_Index,TOT_ELEV_MEAN,TOT_ELEV_MAX,TOT_STREAM_SLOPE,TOT_MAXP6190,TOT_MAXWD6190,TOT_MINWD6190,TOT_RH,TOT_AET,TOT_CWD,TOT_BFI,TOT_CONTACT,TOT_IEOF,TOT_RECHG,TOT_SATOF,TOT_TWI,TOT_EWT,TOT_RF7100,TOT_MIRAD_2012,TOT_FRESHWATER_WD,TOT_STREAMRIVER,TOT_ARTIFICIAL,TOT_CONNECTOR,TOT_STRM_DENS,TOT_TOTAL_ROAD_DENS,TOT_HGA,TOT_HGB,TOT_HGC,TOT_HGD,TOT_SILTAVE,TOT_CLAYAVE,TOT_SANDAVE,TOT_KFACT,TOT_KFACT_UP,TOT_NO10AVE,TOT_NO200AVE,TOT_OM,TOT_ROCKDEP,TOT_BDAVE,TOT_WTDEP,TOT_SRL25AG,TOT_NLCD19_31,TOT_NLCD19_41,TOT_NLCD19_43,TOT_NLCD19_71,TOT_NLCD19_81,TOT_NLCD19_FOREST,TOT_NLCD19_WETLAND
45560,294.27,0,0,1732.9,2858.29,0.014553,37.52,5.82,2.66,49.39,181.74,1.66,43.41,111.43,0,8.39,0,11.05,-95.92,18.5,1.2,0.76,99.48,0.5,0.03,1.39,1.1,0,20.88,30.8,49.3,36.74,17.12,46.17,0.35,0.2,57.65,30.81,0.56,51.33,1.47,5.99,10.5,0.27,0.01,0,1.07,0.82,15.54,0.01
45561,2935.74,30.7,0,1893.82,2858.29,0.015141,41.96,6.12,2.95,48,168.04,1.66,50.33,120.35,0,9.69,0,11.28,-61.93,21.14,1.16,0.77,99.61,0.23,0.13,1.05,0.71,0.78,17.3,22.73,59.07,35.91,19.84,44.26,0.35,0.18,56.36,31.41,0.72,42.65,1.45,5.98,31.89,0.08,0.03,0.03,0.77,0.84,36.01,0.28
45562,105.64,0,0,1746.95,2259.27,0.01552,35.39,5.52,2,46.38,122.67,1.66,38.61,73.45,0,7.12,0,10.84,-27.26,17.16,0,0.76,100,0,0,1.42,0.74,0,9.52,24.58,65.73,32.67,20.37,46.97,0.33,0.17,54.83,28.92,0.51,42.27,1.47,6,40.21,0,0,0,0.1,0,7.71,0
45564,4106.66,1359.3,0.02,1854.68,2858.29,0.015954,43.01,6.11,2.69,46.67,193.37,1.66,47.74,120.65,0,9.16,0,11.29,-53.32,20.91,0.9,0.77,99.5,0.38,0.1,1.13,0.67,0.56,15.08,20.6,63.69,34.89,20.56,44.55,0.35,0.17,55.51,30.75,0.69,39.29,1.45,5.98,26.04,0.06,0.03,0.03,0.72,0.67,37,0.23
45565,139.55,0,0,1834.37,2066.82,0.009389,58.07,6.91,2.34,44.27,308.55,1.66,47.32,215.1,0,8.99,0,11.61,-19.52,24.76,0,0.77,99.89,0,0.11,1.2,0.43,0,15.85,14.84,69.64,33.09,23.28,43.62,0.33,0.16,55.34,31.17,0.66,29.11,1.41,6,0,0,0,0,0.18,0.04,56.14,0
45566,54.75,0,0,1821.3,2230.41,0.012011,46.18,6.11,2,43.16,264.55,1.66,42.74,222.64,0,8.07,0,11.81,-18.72,21.02,0,0.76,99.7,0,0.3,1.43,0.39,0,7.85,20.41,72.2,32.58,21.23,46.19,0.34,0.17,53.78,28.76,0.53,36.92,1.45,6,0,0,0,0,0.34,0,50.57,0
45567,166.87,0,0,1820.77,2066.82,0.009072,56.55,6.78,2.28,44,297.8,1.66,46.41,220.1,0,8.8,0,11.78,-19.59,24.26,0,0.77,99.91,0,0.09,1.24,0.42,0,14.52,15.71,70.25,33.01,22.96,44.04,0.33,0.16,55.07,30.78,0.64,30.34,1.42,6,0.67,0,0,0,0.19,0.05,49.92,0
45568,182.05,1170.25,0.19,1848.09,2321.65,0.016213,54.19,6.62,2,40.08,346.24,1.66,39.68,107.35,0,7.51,0,11.91,-28.19,23.81,0,0.76,97.95,2.05,0,1.12,0.49,0,11.61,11.43,76.64,31.44,23.2,45.35,0.33,0.13,52.85,28.8,0.74,26.77,1.42,6,47.06,0,0.11,0.08,0.59,0,74.95,0.04
45569,437.99,552.73,0.09,1791.3,2230.41,0.011919,53.79,6.55,2.11,42.61,282.17,1.66,43.08,177.25,0,8.18,0,11.87,-21.09,22.93,0.37,0.76,98.72,1.15,0.12,1.35,0.49,0,10.22,15.8,74.24,32.57,22.48,44.95,0.34,0.16,53.74,29.48,0.61,31.05,1.43,6,4.31,0,0,0,0.77,0.31,45.56,0.06
45570,8.96,0,0,2218.04,2672.54,0.042139,48.57,6.63,3,50.63,361.29,1.66,40.48,53.73,0,8.06,0,9.16,-75.09,24.67,0,0.76,100,0,0,1.38,1.59,0,21.37,23.87,55.02,46.28,17.55,36.25,0.41,0.18,48.13,30.34,1.09,35.43,1.35,5.98,0,0,0,0.1,0,0,81.68,0
45571,187.22,0,0,1799.5,2858.29,0.01582,38.88,5.99,2.93,49.8,195.43,1.66,43.71,72.42,0,8.66,0,10.79,-100.66,19.58,0.79,0.76,99.12,0.84,0.05,1.35,1.15,0,17.77,31.93,50.2,37.2,17.05,45.81,0.35,0.19,55.65,29.83,0.61,50.42,1.46,5.99,13.35,0.33,0.02,0.01,0.81,0.56,20.04,0.01
45572,54.43,0,0,1641.84,2188.26,0.013056,35.85,5.67,2.41,49.07,112.97,1.66,42.17,119.53,0,7.9,0,11.89,-95.98,16.86,2.51,0.76,100,0,0,1.69,0.94,0,26.57,28.76,46.58,37.1,17.11,45.84,0.35,0.22,60.23,32.46,0.54,52.01,1.47,5.99,4.04,0.26,0,0,2.26,1.64,2.76,0.02
45573,922.19,569.61,0.09,1771.16,2321.65,0.01642,48.66,6.27,2.05,42.7,276.77,1.66,41.79,136.15,0,7.97,0,11.49,-31.49,21.34,0.18,0.76,99.05,0.89,0.06,1.35,0.51,0,9.82,15.51,74.67,32.27,22.41,45.31,0.34,0.15,53.43,29.1,0.62,31.03,1.43,6,6.05,0.01,0.02,0.02,0.72,0.15,45.75,0.09
